Season,Slot,StrongSeed,WeakSeed,Round,TeamID_Strong,TeamName_Strong,TeamID_Weak,TeamName_Weak,TeamID_Winner,Strong_Win,Orig_Seed_Strong,Orig_Seed_Weak,Matchup,Round_v2,comp,Key,Win_Prob,RPI_Strong,RPI_Weak,RPI_Strong_Dummy,RPI_Weak_Dummy,Win_Prob_glm,Win_Prob_gbm
2018,R1W1,W01,W16,1,1437,Villanova,1347,Radford,1437,1,1,16,15,1,1,115,0.9926470588235294,2,128,1,1,0.9489356219407269,0.9689411520957947
2018,R1W1,W01,W16,1,1437,Villanova,1347,Radford,1347,0,1,16,15,1,-1,115,0.007352941176470562,2,128,1,1,0.9489356219407269,0.9689411520957947
2018,R2W1,R1W1,R1W8,2,1437,Villanova,1439,Virginia Tech,1437,1,1,8,7,2,1,207,0.8115942028985508,2,61,1,1,0.7965185094170608,0.8691922426223755
2018,R2W1,R1W1,R1W8,2,1437,Villanova,1439,Virginia Tech,1439,0,1,8,7,2,-1,207,0.18840579710144922,2,61,1,1,0.7965185094170608,0.8691922426223755
2018,R2W1,R1W1,R1W8,2,1347,Radford,1439,Virginia Tech,1347,1,16,8,8,2,-1,208,0.2543103448275862,128,61,1,1,0.17399439332425742,0.22313958406448364
2018,R2W1,R1W1,R1W8,2,1347,Radford,1439,Virginia Tech,1439,0,16,8,8,2,1,208,0.7456896551724138,128,61,1,1,0.17399439332425742,0.22313958406448364
2018,R2W1,R1W1,R1W8,2,1437,Villanova,1104,Alabama,1437,1,1,9,8,2,1,208,0.7456896551724138,2,42,1,1,0.8066518689842561,0.8499095439910889
2018,R2W1,R1W1,R1W8,2,1437,Villanova,1104,Alabama,1104,0,1,9,8,2,-1,208,0.2543103448275862,2,42,1,1,0.8066518689842561,0.8499095439910889
2018,R1W8,W08,W09,1,1439,Virginia Tech,1104,Alabama,1439,1,8,9,1,1,1,101,0.5,61,42,1,1,0.5159257391417269,0.26105985045433044
2018,R1W8,W08,W09,1,1439,Virginia Tech,1104,Alabama,1104,0,8,9,1,1,-1,101,0.5,61,42,1,1,0.5159257391417269,0.26105985045433044
2018,R2W1,R1W1,R1W8,2,1347,Radford,1104,Alabama,1347,1,16,9,7,2,-1,207,0.18840579710144922,128,42,1,1,0.18334397174866038,0.104962058365345
2018,R2W1,R1W1,R1W8,2,1347,Radford,1104,Alabama,1104,0,16,9,7,2,1,207,0.8115942028985508,128,42,1,1,0.18334397174866038,0.104962058365345
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1455,Wichita St,1437,1,1,4,3,3,1,303,0.6486486486486487,2,16,1,1,0.6296849635983952,0.7342356443405151
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1455,Wichita St,1455,0,1,4,3,3,-1,303,0.3513513513513513,2,16,1,1,0.6296849635983952,0.7342356443405151
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1455,Wichita St,1439,1,8,4,4,3,-1,304,0.2931034482758621,61,16,1,1,0.30284011563866725,0.20495779812335968
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1455,Wichita St,1455,0,8,4,4,3,1,304,0.7068965517241379,61,16,1,1,0.30284011563866725,0.20495779812335968
2018,R3W1,R2W1,R2W4,3,1347,Radford,1455,Wichita St,1347,1,16,4,12,3,-1,312,0.5,128,16,1,1,0.08383174610704562,0.07813166081905365
2018,R3W1,R2W1,R2W4,3,1347,Radford,1455,Wichita St,1455,0,16,4,12,3,1,312,0.5,128,16,1,1,0.08383174610704562,0.07813166081905365
2018,R3W1,R2W1,R2W4,3,1104,Alabama,1455,Wichita St,1104,1,9,4,5,3,-1,305,0.2222222222222222,42,16,1,1,0.2895574647777598,0.3964729607105255
2018,R3W1,R2W1,R2W4,3,1104,Alabama,1455,Wichita St,1455,0,9,4,5,3,1,305,0.7777777777777778,42,16,1,1,0.2895574647777598,0.3964729607105255
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1267,Marshall,1437,1,1,13,12,3,1,312,0.5,2,87,1,1,0.9056985205059284,0.9533398747444153
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1267,Marshall,1267,0,1,13,12,3,-1,312,0.5,2,87,1,1,0.9056985205059284,0.9533398747444153
2018,R1W4,W04,W13,1,1455,Wichita St,1267,Marshall,1455,1,4,13,9,1,1,109,0.7941176470588235,16,87,1,1,0.8495842607673201,0.8432796597480774
2018,R1W4,W04,W13,1,1455,Wichita St,1267,Marshall,1267,0,4,13,9,1,-1,109,0.20588235294117652,16,87,1,1,0.8495842607673201,0.8432796597480774
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1267,Marshall,1439,1,8,13,5,3,1,305,0.7777777777777778,61,87,1,1,0.7104425352222511,0.5786972641944885
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1267,Marshall,1267,0,8,13,5,3,-1,305,0.2222222222222222,61,87,1,1,0.7104425352222511,0.5786972641944885
2018,R3W1,R2W1,R2W4,3,1347,Radford,1267,Marshall,1347,1,16,13,3,3,-1,303,0.3513513513513513,128,87,1,1,0.34072968408087356,0.4217686057090759
2018,R3W1,R2W1,R2W4,3,1347,Radford,1267,Marshall,1267,0,16,13,3,3,1,303,0.6486486486486487,128,87,1,1,0.34072968408087356,0.4217686057090759
2018,R3W1,R2W1,R2W4,3,1104,Alabama,1267,Marshall,1104,1,9,13,4,3,1,304,0.7068965517241379,42,87,1,1,0.6971598843613439,0.8223803043365479
2018,R3W1,R2W1,R2W4,3,1104,Alabama,1267,Marshall,1267,0,9,13,4,3,-1,304,0.2931034482758621,42,87,1,1,0.6971598843613439,0.8223803043365479
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1452,West Virginia,1437,1,1,5,4,3,1,304,0.7068965517241379,2,27,1,1,0.6765850287368259,0.8061054348945618
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1452,West Virginia,1452,0,1,5,4,3,-1,304,0.2931034482758621,2,27,1,1,0.6765850287368259,0.8061054348945618
2018,R2W4,R1W4,R1W5,2,1455,Wichita St,1452,West Virginia,1455,1,4,5,1,2,1,201,0.5783132530120482,16,27,1,1,0.5516294060989629,0.5661368370056152
2018,R2W4,R1W4,R1W5,2,1455,Wichita St,1452,West Virginia,1452,0,4,5,1,2,-1,201,0.42168674698795183,16,27,1,1,0.5516294060989629,0.5661368370056152
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1452,West Virginia,1439,1,8,5,3,3,-1,303,0.3513513513513513,61,27,1,1,0.3482924466621609,0.2222580462694168
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1452,West Virginia,1452,0,8,5,3,3,1,303,0.6486486486486487,61,27,1,1,0.3482924466621609,0.2222580462694168
2018,R3W1,R2W1,R2W4,3,1347,Radford,1452,West Virginia,1347,1,16,5,11,3,-1,311,0.0,128,27,1,1,0.10118452590610201,0.0923510268330574
2018,R3W1,R2W1,R2W4,3,1347,Radford,1452,West Virginia,1452,0,16,5,11,3,1,311,1.0,128,27,1,1,0.10118452590610201,0.0923510268330574
2018,R2W4,R1W4,R1W5,2,1267,Marshall,1452,West Virginia,1267,1,13,5,8,2,-1,208,0.2543103448275862,87,27,1,1,0.1788603698384922,0.16090159118175507
2018,R2W4,R1W4,R1W5,2,1267,Marshall,1452,West Virginia,1452,0,13,5,8,2,1,208,0.7456896551724138,87,27,1,1,0.1788603698384922,0.16090159118175507
2018,R3W1,R2W1,R2W4,3,1104,Alabama,1452,West Virginia,1104,1,9,5,4,3,-1,304,0.2931034482758621,42,27,1,1,0.3339712458737044,0.42137110233306885
2018,R3W1,R2W1,R2W4,3,1104,Alabama,1452,West Virginia,1452,0,9,5,4,3,1,304,0.7068965517241379,42,27,1,1,0.3339712458737044,0.42137110233306885
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1293,Murray St,1437,1,1,12,11,3,1,311,1.0,2,48,1,1,0.8722488156262265,0.9430199861526489
2018,R3W1,R2W1,R2W4,3,1437,Villanova,1293,Murray St,1293,0,1,12,11,3,-1,311,0.0,2,48,1,1,0.8722488156262265,0.9430199861526489
2018,R2W4,R1W4,R1W5,2,1455,Wichita St,1293,Murray St,1455,1,4,12,8,2,1,208,0.7456896551724138,16,48,1,1,0.8006121466527752,0.6570228934288025
2018,R2W4,R1W4,R1W5,2,1455,Wichita St,1293,Murray St,1293,0,4,12,8,2,-1,208,0.2543103448275862,16,48,1,1,0.8006121466527752,0.6570228934288025
2018,R1W5,W05,W12,1,1452,West Virginia,1293,Murray St,1452,1,5,12,7,1,1,107,0.6544117647058824,27,48,1,1,0.7654631456177612,0.6159864068031311
2018,R1W5,W05,W12,1,1452,West Virginia,1293,Murray St,1293,0,5,12,7,1,-1,107,0.34558823529411764,27,48,1,1,0.7654631456177612,0.6159864068031311
2018,R3W1,R2W1,R2W4,3,1439,Virginia Tech,1293,Murray St,1439,1,8,12,4,3,1,304,0.7068965517241379,61,48,1,1,0.6355994512500174,0.3198429346084595
